question,option1,option2,option3,option4,correct_answer
"Dr. Armstrong, a plastic surgeon, completed a bilateral rhytidectomy of the neck and a suction- assisted lipectomy of the right upper arm. Which code(s) should be reported for Dr. Armstrong’s services? ","15828-50, 15879-RT-59 ","15826-59, 15879-RT-59 ","15828-50, 15878-RT-59 ","15826-RT, 15828-50, 15878-RT-59 ","15828-50, 15878-RT-59 "
"Which code describes a cutaneous flap, transposed into a nearby but not immediately adjacent defect, with a pedicle that incorporates an axial vessel into its design? ",15757,15758,15750,15740,15740
"A 32-year-old female is having excision of a mass in her left breast. The physician makes a curved incision along the inferior and medial aspect of the areola. A breast nodule, measuring approximately 1 cm in diameter, was identified. It appeared to be benign. It was firm, gray, and discrete. It was completely excised. There was no gross evidence of malignancy. The bleeding was controlled with electrocautery. The skin edges were approximated with a continuous subcuticular 4- 0 Vicryl suture.Indermil tissue adhesive was applied to the skin as well as a dry gauze dressing.What CPT code(s) should be reported for this example? ",19120-LT ,19125-LT ,19301-LT ,19370-LT ,19120-LT 
Dr. Long completed an excision of a malignant lesion from the scalp of a 45-year-old patient. The patient was prepped and draped in the usual sterile fashion and lidocaine locally injected. Dr. Long documented the size of the lesion as 2.0 cm. The lesion was excised and marked at the 12 o’clock cephalad portion with a silk suture. The total excised diameter of lesion and margins was 4.0 cm.The defect created by the excision was 5.4 cm and closed with layer 3-0 Prolene™ sutures. How should Dr. Long report her services? ,"11624, 12032-51, 96372, J2001 ","11624, 12032-51 ","11422, 12032-51, 96372, J2001 ","11626, 12032-51 ","11624, 12032-51 "
"A 61-year-old patient had a benign 1-cm lesion excised from his right arm, a benign 2.5-cm lesion excised from his trunk, and a benign 2.1-cm lesion excised from his neck. The final excised diam- eters were documented at 1.9 cm right arm, 3.1 cm trunk, and 2.1 cm neck. The defect created on the arm by the excision was 2.8 cm, defect trunk 3.8 cm, and neck 2.8 cm. All defects were closed by simple suture technique. How should you report these services?","11423, 11404-59, 11402-RT-59  ","11422, 12004-51","11401, 11403-51, 11423-51, 11404-59, 11402-59 ","11602-RT, 11604-59, 11622-59 ","11423, 11404-59, 11402-RT-59  "
A 55-year-old patient had seven toenails debrided. How should you report this service?,"11000, 11721-59 ","11000, 11001-51 ","11720, 11721-51 ",11721,11721
"James suffered a severe crushing injury to his left upper leg. Two days after surgery, Dr. Barnes completed a dressing change under general anesthesia. How would you report this service?",16020-  LT,"15852, 01232, J2060",01232-P6,15852-LT,15852-LT
"Dr. Jess removed a 4.5 cm (excised diameter) cystic lesion from Amy’s forehead. The ulcerated lesion was anesthetized with 20 mg of 1% Lidocaine and then elliptically excised. The wound was closed with a layered suture technique and a sterile dressing applied. The wound closure, according to Dr. Jess’s documentation, was 5.3 cm. How would you report this procedure?","11446, 12053-51","11646, 12013-51","11446, J2001 x 2, 12013-59","11313, 12053-59","11446, 12053-51"
Which of the following procedures could be coded with a breast reconstruction with free flap?,Harvesting of the flap,Microvascular transfer,Closure of the donor site and inset shaping the flap into a breast,None of the above,None of the above
"Barry underwent a complex incision and drainage due to a postoperative wound infection, which required an extensive secondary closure of the surgical site. Which codes describe this procedure?","13160, 10081-  59","10121, 12020-51","13160, 10180-51","10061, 12021-59","13160, 10180-51"
